番号,ポケモン名
0001,フシギダネ
0002,フシギソウ
0003,フシギバナ
0003-1,メガフシギバナ
0003-2,フシギバナキョダイマックス
0004,ヒトカゲ
0005,リザード
0006,リザードン
0006-1,メガリザードンX
0006-2,メガリザードンY
0006-3,リザードンキョダイマックス
0007,ゼニガメ
0008,カメール
0009,カメックス
0009-1,メガカメックス
0009-2,カメックスキョダイマックス
0010,キャタピー
0011,トランセル
0012,バタフリー
0012-1,バタフリーキョダイマックス
0013,ビードル
0014,コクーン
0015,スピアー
0015-1,メガスピアー
0016,ポッポ
0017,ピジョン
0018,ピジョット
0018-1,メガピジョット
0019,コラッタ
0019-1,アローラコラッタ
0020,ラッタ
0020-1,アローララッタ
0021,オニスズメ
0022,オニドリル
0023,アーボ
0024,アーボック
0025,ピカチュウ
0025-1,ピカチュウキョダイマックス
0026,ライチュウ
0026-1,アローラライチュウ
0027,サンド
0027-1,アローラサンド
0028,サンドパン
0028-1,アローラサンドパン
0029,ニドラン♀
0030,ニドリーナ
0031,ニドクイン
0032,ニドラン♂
0033,ニドリーノ
0034,ニドキング
0035,ピッピ
0036,ピクシー
0037,ロコン
0037-1,アローラロコン
0038,キュウコン
0038-1,アローラキュウコン
0039,プリン
0040,プクリン
0041,ズバット
0042,ゴルバット
0043,ナゾノクサ
0044,クサイハナ
0045,ラフレシア
0046,パラス
0047,パラセクト
0048,コンパン
0049,モルフォン
0050,ディグダ
0050-1,アローラディグダ
0051,ダグトリオ
0051-1,アローラダグトリオ
0052,ニャース
0052-1,アローラニャース
0052-2,ガラルニャース
0052-3,ニャースキョダイマックス
0053,ペルシアン
0053-1,アローラペルシアン
0054,コダック
0055,ゴルダック
0056,マンキー
0057,オコリザル
0058,ガーディ
0058-1,ヒスイガーディ
0059,ウインディ
0059-1,ヒスイウインディ
0060,ニョロモ
0061,ニョロゾ
0062,ニョロボン
0063,ケーシィ
0064,ユンゲラー
0065,フーディン
0065-1,メガフーディン
0066,ワンリキー
0067,ゴーリキー
0068,カイリキー
0068-1,カイリキーキョダイマックス
0069,マダツボミ
0070,ウツドン
0071,ウツボット
0072,メノクラゲ
0073,ドククラゲ
0074,イシツブテ
0074-1,アローライシツブテ
0075,ゴローン
0075-1,アローラゴローン
0076,ゴローニャ
0076-1,アローラゴローニャ
0077,ポニータ
0077-1,ガラルポニータ
0078,ギャロップ
0078-1,ガラルギャロップ
0079,ヤドン
0079-1,ガラルヤドン
0080,ヤドラン
0080-1,メガヤドラン
0080-2,ガラルヤドラン
0081,コイル
0082,レアコイル
0083,カモネギ
0083-1,ガラルカモネギ
0084,ドードー
0085,ドードリオ
0086,パウワウ
0087,ジュゴン
0088,ベトベター
0088-1,ベトベター
0089,ベトベトン
0089-1,アローラベトベトン
0090,シェルダー
0091,パルシェン
0092,ゴース
0093,ゴースト
0094,ゲンガー
0094-1,メガゲンガー
0094-2,ゲンガーキョダイマックス
0095,イワーク
0096,スリープ
0097,スリーパー
0098,クラブ
0099,キングラー
0099-1,キングラーキョダイマックス
0100,ビリリダマ
0100-1,ヒスイビリリダマ
0101,マルマイン
0101-1,ヒスイマルマイン
0102,タマタマ
0103,ナッシー
0103-1,アローラナッシー
0104,カラカラ
0105,ガラガラ
0105-1,アローラガラガラ
0106,サワムラー
0107,エビワラー
0108,ベロリンガ
0109,ドガース
0110,マタドガス
0110-1,ガラルマタドガス
0111,サイホーン
0112,サイドン
0113,ラッキー
0114,モンジャラ
0115,ガルーラ
0115-1,メガガルーラ
0116,タッツー
0117,シードラ
0118,トサキント
0119,アズマオウ
0120,ヒトデマン
0121,スターミー
0122,バリヤード
0122-1,ガラルバリヤード
0123,ストライク
0124,ルージュラ
0125,エレブー
0126,ブーバー
0127,カイロス
0127-1,メガカイロス
0128,ケンタロス
0128-1,パルデアケンタロスコンバットしゅ
0128-2,パルデアケンタロスブレイズしゅ
0128-3,パルデアケンタロスウォーターしゅ
0129,コイキング
0130,ギャラドス
0130-1,メガギャラドス
0131,ラプラス
0131-1,ラプラスキョダイマックス
0132,メタモン
0133,イーブイ
0133-1,イーブイキョダイマックス
0134,シャワーズ
0135,サンダース
0136,ブースター
0137,ポリゴン
0138,オムナイト
0139,オムスター
0140,カブト
0141,カブトプス
0142,プテラ
0142-1,メガプテラ
0143,カビゴン
0143-1,カビゴンキョダイマックス
0144,フリーザー
0144-1,ガラルフリーザー
0145,サンダー
0145-1,ガラルサンダー
0146,ファイヤー
0146-1,ガラルファイヤー
0147,ミニリュウ
0148,ハクリュー
0149,カイリュー
0150,ミュウツー
0150-1,メガミュウツーX
0150-2,メガミュウツーY
0151,ミュウ
0152,チコリータ
0153,ベイリーフ
0154,メガニウム
0155,ヒノアラシ
0156,マグマラシ
0157,バクフーン
0157-1,ヒスイバクフーン
0158,ワニノコ
0159,アリゲイツ
0160,オーダイル
0161,オタチ
0162,オオタチ
0163,ホーホー
0164,ヨルノズク
0165,レディバ
0166,レディアン
0167,イトマル
0168,アリアドス
0169,クロバット
0170,チョンチー
0171,ランターン
0172,ピチュー
0173,ピィ
0174,ププリン
0175,トゲピー
0176,トゲチック
0177,ネイティ
0178,ネイティオ
0179,メリープ
0180,モココ
0181,デンリュウ
0181-1,メガデンリュウ
0182,キレイハナ
0183,マリル
0184,マリルリ
0185,ウソッキー
0186,ニョロトノ
0187,ハネッコ
0188,ポポッコ
0189,ワタッコ
0190,エイパム
0191,ヒマナッツ
0192,キマワリ
0193,ヤンヤンマ
0194,ウパー
0194-1,パルデアウパー
0195,ヌオー
0196,エーフィ
0197,ブラッキー
0198,ヤミカラス
0199,ヤドキング
0199-1,ガラルヤドキング
0200,ムウマ
0201,アンノーン
0202,ソーナンス
0203,キリンリキ
0204,クヌギダマ
0205,フォレトス
0206,ノコッチ
0207,グライガー
0208,ハガネール
0208-1,メガハガネール
0209,ブルー
0210,グランブル
0211,ハリーセン
0211-1,ヒスイハリーセン
0212,ハッサム
0212-1,メガハッサム
0213,ツボツボ
0214,ヘラクロス
0214-1,メガヘラクロス
0215,ニューラ
0215-1,ヒスイニューラ
0216,ヒメグマ
0217,リングマ
0218,マグマッグ
0219,マグカルゴ
0220,ウリムー
0221,イノムー
0222,サニーゴ
0222-1,ガラルサニーゴ
0223,テッポウオ
0224,オクタン
0225,デリバード
0226,マンタイン
0227,エアームド
0228,デルビル
0229,ヘルガー
0229-1,メガヘルガー
0230,キングドラ
0231,ゴマゾウ
0232,ドンファン
0233,ポリゴン2
0234,オドシシ
0235,ドーブル
0236,バルキー
0237,カポエラー
0238,ムチュール
0239,エレキッド
0240,ブビィ
0241,ミルタンク
0242,ハピナス
0243,ライコウ
0244,エンテイ
0245,スイクン
0246,ヨーギラス
0247,サナギラス
0248,バンギラス
0248-1,メガバンギラス
0249,ルギア
0250,ホウオウ
0251,セレビィ
0252,キモリ
0253,ジュプトル
0254,ジュカイン
0254-1,メガジュカイン
0255,アチャモ
0256,ワカシャモ
0257,バシャーモ
0257-1,メガバシャーモ
0258,ミズゴロウ
0259,ヌマクロー
0260,ラグラージ
0260-1,メガラグラージ
0261,ポチエナ
0262,グラエナ
0263,ジグザグマ
0263-1,ガラルジグザグマ
0264,マッスグマ
0264-1,ガラルマッスグマ
0265,ケムッソ
0266,カラサリス
0267,アゲハント
0268,マユルド
0269,ドクケイル
0270,ハスボー
0271,ハスブレロ
0272,ルンパッパ
0273,タネボー
0274,コノハナ
0275,ダーテング
0276,スバメ
0277,オオスバメ
0278,キャモメ
0279,ペリッパー
0280,ラルトス
0281,キルリア
0282,サーナイト
0282-1,メガサーナイト
0283,アメタマ
0284,アメモース
0285,キノココ
0286,キノガッサ
0287,ナマケロ
0288,ヤルキモノ
0289,ケッキング
0290,ツチニン
0291,テッカニン
0292,ヌケニン
0293,ゴニョニョ
0294,ドゴーム
0295,バクオング
0296,マクノシタ
0297,ハリテヤマ
0298,ルリリ
0299,ノズパス
0300,エネコ
0301,エネコロロ
0302,ヤミラミ
0302-1,メガヤミラミ
0303,クチート
0303-1,メガクチート
0304,ココドラ
0305,コドラ
0306,ボスゴドラ
